epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.19157,1.41112,4.28284,1.7006,0,0,0,0,2.07526,4.74029,1.96372,0,0,0
2,5.84205,1.11611,4.31485,1.47491,0,0,0,0,2.03771,4.88799,1.86537,4.99963e-06,4.99963e-06,4.99963e-06
3,6.45748,1.92474,5.7184,2.5111,0,0,0,0,1.99372,4.9001,1.8002,9.47852e-06,9.47852e-06,9.47852e-06
4,7.0922,1.99393,4.57647,2.47799,0,0,0,0,1.85744,4.91016,1.71272,1.34367e-05,1.34367e-05,1.34367e-05
5,7.69278,1.2,5.37442,1.58212,0,0,0,0,1.71504,4.85304,1.6461,1.68741e-05,1.68741e-05,1.68741e-05
6,8.33347,1.51881,4.34601,1.81673,0,0,0,0,1.6449,4.95519,1.57767,1.97907e-05,1.97907e-05,1.97907e-05
7,8.9389,1.38588,3.95469,1.29912,0,0,0,0,1.61358,5.01131,1.57627,2.21867e-05,2.21867e-05,2.21867e-05
8,9.55152,1.41686,4.36424,1.75956,0,0,0,0,1.62333,4.97985,1.60712,2.40619e-05,2.40619e-05,2.40619e-05
9,10.1974,1.25015,4.62547,1.64798,0,0,0,0,1.68354,4.89453,1.64332,2.54163e-05,2.54163e-05,2.54163e-05
10,10.8272,0.95187,3.85555,1.18713,0,0,0,0,1.76746,4.96827,1.68397,2.625e-05,2.625e-05,2.625e-05
11,11.4506,0.86344,4.72968,1.11575,0,0,0,0,1.78752,4.96535,1.71384,2.6563e-05,2.6563e-05,2.6563e-05
12,12.0682,1.36171,4.81365,1.6845,0,0,0,0,1.78912,4.95367,1.73411,2.63552e-05,2.63552e-05,2.63552e-05
13,12.8561,1.16081,4.68246,1.63451,0,0,0,0,1.78417,4.95399,1.74262,2.56267e-05,2.56267e-05,2.56267e-05
14,13.4741,0.90636,5.14615,1.5647,0,0,0,0,1.7942,4.98754,1.75918,2.43775e-05,2.43775e-05,2.43775e-05
15,14.0845,1.12566,4.96904,1.98374,0,0,0,0,1.7761,4.97197,1.72952,2.26075e-05,2.26075e-05,2.26075e-05
16,14.7152,0.86854,4.67376,1.63469,0,0,0,0,1.77678,4.96737,1.75731,2.03167e-05,2.03167e-05,2.03167e-05
17,15.3298,1.06778,4.93716,1.67428,0,0,0,0,1.80928,4.97507,1.78825,1.75053e-05,1.75053e-05,1.75053e-05
18,15.9595,0.54972,4.36279,1.11728,0,0,0,0,1.83839,4.98414,1.82609,1.41731e-05,1.41731e-05,1.41731e-05
19,16.5726,1.08611,4.73038,1.35735,0,0,0,0,1.85967,4.99431,1.84004,1.03201e-05,1.03201e-05,1.03201e-05
20,17.1954,0.67475,4.76008,1.24718,0,0,0,0,1.85387,5.00379,1.86945,5.94643e-06,5.94643e-06,5.94643e-06
